Entity,Code,Year,emissions_total_per_capita
China,CHN,1987,2.0585601
China,CHN,1988,2.1739132
China,CHN,1989,2.1712253
China,CHN,1990,2.1528878
China,CHN,1991,2.2370765
China,CHN,1992,2.3057148
China,CHN,1993,2.4340296
China,CHN,1994,2.559043
China,CHN,1995,2.7465813
China,CHN,1996,2.8427844
China,CHN,1997,2.8299394
China,CHN,1998,2.6824508
China,CHN,1999,2.817025
China,CHN,2000,2.8700879
China,CHN,2001,2.912365
China,CHN,2002,3.184619
China,CHN,2003,3.7351773
China,CHN,2004,4.001966
China,CHN,2005,4.4899764
China,CHN,2006,4.921031
China,CHN,2007,5.2606664
China,CHN,2008,5.6172485
China,CHN,2009,5.8706574
China,CHN,2010,6.370445
China,CHN,2011,6.998823
China,CHN,2012,7.131918
China,CHN,2013,7.2097993
China,CHN,2014,7.187588
China,CHN,2015,7.0609546
China,CHN,2016,6.9428844
China,CHN,2017,7.080384
China,CHN,2018,7.2915606
China,CHN,2019,7.5260706
China,CHN,2020,7.64075
China,CHN,2021,7.910899
China,CHN,2022,8.217776
China,CHN,2023,8.556261
China,CHN,2024,8.65839
Germany,DEU,1987,13.223626
Germany,DEU,1988,13.123539
Germany,DEU,1989,12.765508
Germany,DEU,1990,13.233256
Germany,DEU,1991,12.663626
Germany,DEU,1992,11.978324
Germany,DEU,1993,11.773517
Germany,DEU,1994,11.534621
Germany,DEU,1995,11.459825
Germany,DEU,1996,11.666093
Germany,DEU,1997,11.306132
Germany,DEU,1998,11.26054
Germany,DEU,1999,10.9630375
Germany,DEU,2000,10.990293
Germany,DEU,2001,11.1706505
Germany,DEU,2002,10.952268
Germany,DEU,2003,10.893722
Germany,DEU,2004,10.677804
Germany,DEU,2005,10.57788
Germany,DEU,2006,10.849607
Germany,DEU,2007,10.407971
Germany,DEU,2008,10.561389
Germany,DEU,2009,9.760688
Germany,DEU,2010,10.22758
Germany,DEU,2011,9.95007
Germany,DEU,2012,10.060916
Germany,DEU,2013,10.263195
Germany,DEU,2014,9.739761
Germany,DEU,2015,9.756902
Germany,DEU,2016,9.642186
Germany,DEU,2017,9.441122
Germany,DEU,2018,9.101415
Germany,DEU,2019,8.480803
Germany,DEU,2020,7.738692
Germany,DEU,2021,8.100614
Germany,DEU,2022,7.942359
Germany,DEU,2023,7.022808
Germany,DEU,2024,6.7688236
Japan,JPN,1987,7.3985643
Japan,JPN,1988,8.039867
Japan,JPN,1989,8.306787
Japan,JPN,1990,9.358634
Japan,JPN,1991,9.416044
Japan,JPN,1992,9.450228
Japan,JPN,1993,9.366616
Japan,JPN,1994,9.762861
Japan,JPN,1995,9.834065
Japan,JPN,1996,9.912181
Japan,JPN,1997,9.828307
Japan,JPN,1998,9.493024
Japan,JPN,1999,9.76424
Japan,JPN,2000,9.920687
Japan,JPN,2001,9.790459
Japan,JPN,2002,10.004505
Japan,JPN,2003,10.055865
Japan,JPN,2004,10.007541
Japan,JPN,2005,10.056906
Japan,JPN,2006,9.87084
Japan,JPN,2007,10.141284
Japan,JPN,2008,9.587431
Japan,JPN,2009,9.050865
Japan,JPN,2010,9.447968
Japan,JPN,2011,9.845555
Japan,JPN,2012,10.178457
Japan,JPN,2013,10.271204
Japan,JPN,2014,9.885529
Japan,JPN,2015,9.58534
Japan,JPN,2016,9.436406
Japan,JPN,2017,9.321171
Japan,JPN,2018,8.971074
Japan,JPN,2019,8.698248
Japan,JPN,2020,8.212569
Japan,JPN,2021,8.422242
Japan,JPN,2022,8.237319
Japan,JPN,2023,7.9352145
Japan,JPN,2024,7.7724743
United Arab Emirates,ARE,1987,30.240154
United Arab Emirates,ARE,1988,28.703812
United Arab Emirates,ARE,1989,30.384678
United Arab Emirates,ARE,1990,27.345585
United Arab Emirates,ARE,1991,28.353796
United Arab Emirates,ARE,1992,27.429031
United Arab Emirates,ARE,1993,29.62612
United Arab Emirates,ARE,1994,32.36436
United Arab Emirates,ARE,1995,29.931713
United Arab Emirates,ARE,1996,29.195024
United Arab Emirates,ARE,1997,26.015919
United Arab Emirates,ARE,1998,26.517456
United Arab Emirates,ARE,1999,23.834599
United Arab Emirates,ARE,2000,32.138012
United Arab Emirates,ARE,2001,27.36482
United Arab Emirates,ARE,2002,21.535686
United Arab Emirates,ARE,2003,25.547222
United Arab Emirates,ARE,2004,25.393887
United Arab Emirates,ARE,2005,24.711319
United Arab Emirates,ARE,2006,24.500017
United Arab Emirates,ARE,2007,23.842087
United Arab Emirates,ARE,2008,24.597576
United Arab Emirates,ARE,2009,25.210455
United Arab Emirates,ARE,2010,26.785591
United Arab Emirates,ARE,2011,27.574131
United Arab Emirates,ARE,2012,27.787138
United Arab Emirates,ARE,2013,27.348331
United Arab Emirates,ARE,2014,26.045097
United Arab Emirates,ARE,2015,25.942865
United Arab Emirates,ARE,2016,25.235403
United Arab Emirates,ARE,2017,21.278515
United Arab Emirates,ARE,2018,21.8367
United Arab Emirates,ARE,2019,21.75957
United Arab Emirates,ARE,2020,22.783035
United Arab Emirates,ARE,2021,21.67451
United Arab Emirates,ARE,2022,20.220825
United Arab Emirates,ARE,2023,19.772913
United Arab Emirates,ARE,2024,20.131075
United Kingdom,GBR,1987,10.049029
United Kingdom,GBR,1988,10.000239
United Kingdom,GBR,1989,10.170335
United Kingdom,GBR,1990,10.4927225
United Kingdom,GBR,1991,10.588317
United Kingdom,GBR,1992,10.288521
United Kingdom,GBR,1993,10.017321
United Kingdom,GBR,1994,9.896297
United Kingdom,GBR,1995,9.735405
United Kingdom,GBR,1996,10.0647545
United Kingdom,GBR,1997,9.62765
United Kingdom,GBR,1998,9.697672
United Kingdom,GBR,1999,9.545588
United Kingdom,GBR,2000,9.635275
United Kingdom,GBR,2001,9.748509
United Kingdom,GBR,2002,9.40991
United Kingdom,GBR,2003,9.555585
United Kingdom,GBR,2004,9.530167
United Kingdom,GBR,2005,9.412128
United Kingdom,GBR,2006,9.301154
United Kingdom,GBR,2007,9.09334
United Kingdom,GBR,2008,8.785364
United Kingdom,GBR,2009,7.9049363
United Kingdom,GBR,2010,8.124634
United Kingdom,GBR,2011,7.3959785
United Kingdom,GBR,2012,7.62153
United Kingdom,GBR,2013,7.4175463
United Kingdom,GBR,2014,6.764833
United Kingdom,GBR,2015,6.461413
United Kingdom,GBR,2016,6.061766
United Kingdom,GBR,2017,5.8378453
United Kingdom,GBR,2018,5.6886244
United Kingdom,GBR,2019,5.4350777
United Kingdom,GBR,2020,4.84416
United Kingdom,GBR,2021,5.059431
United Kingdom,GBR,2022,4.563232
United Kingdom,GBR,2023,4.481841
United Kingdom,GBR,2024,4.5257993
United States,USA,1987,19.06039
United States,USA,1988,19.717833
United States,USA,1989,19.78752
United States,USA,1990,20.253748
United States,USA,1991,19.793287
United States,USA,1992,19.948572
United States,USA,1993,20.102255
United States,USA,1994,20.197258
United States,USA,1995,20.230127
United States,USA,1996,20.678873
United States,USA,1997,20.745182
United States,USA,1998,20.774931
United States,USA,1999,20.805534
United States,USA,2000,21.39786
United States,USA,2001,20.766743
United States,USA,2002,20.718021
United States,USA,2003,20.718428
United States,USA,2004,20.873743
United States,USA,2005,20.71883
United States,USA,2006,20.236742
United States,USA,2007,20.28047
United States,USA,2008,19.409172
United States,USA,2009,17.81067
United States,USA,2010,18.22542
United States,USA,2011,17.634142
United States,USA,2012,16.812391
United States,USA,2013,17.09857
United States,USA,2014,17.118917
United States,USA,2015,16.461393
United States,USA,2016,15.934658
United States,USA,2017,15.639208
United States,USA,2018,16.000992
United States,USA,2019,15.500492
United States,USA,2020,13.8168955
United States,USA,2021,14.758024
United States,USA,2022,14.802047
United States,USA,2023,14.31945
United States,USA,2024,14.197287
World,OWID_WRL,1987,4.1796536
World,OWID_WRL,1988,4.262697
World,OWID_WRL,1989,4.241189
World,OWID_WRL,1990,4.266701
World,OWID_WRL,1991,4.282473
World,OWID_WRL,1992,4.090168
World,OWID_WRL,1993,4.06862
World,OWID_WRL,1994,4.047994
World,OWID_WRL,1995,4.0835447
World,OWID_WRL,1996,4.1481075
World,OWID_WRL,1997,4.1149697
World,OWID_WRL,1998,4.044522
World,OWID_WRL,1999,4.0791173
World,OWID_WRL,2000,4.133621
World,OWID_WRL,2001,4.1076345
World,OWID_WRL,2002,4.1442804
World,OWID_WRL,2003,4.30703
World,OWID_WRL,2004,4.3992558
World,OWID_WRL,2005,4.493561
World,OWID_WRL,2006,4.585831
World,OWID_WRL,2007,4.661509
World,OWID_WRL,2008,4.682571
World,OWID_WRL,2009,4.545518
World,OWID_WRL,2010,4.744936
World,OWID_WRL,2011,4.848876
World,OWID_WRL,2012,4.854014
World,OWID_WRL,2013,4.837743
World,OWID_WRL,2014,4.8045974
World,OWID_WRL,2015,4.7391157
World,OWID_WRL,2016,4.6824865
World,OWID_WRL,2017,4.705259
World,OWID_WRL,2018,4.752195
World,OWID_WRL,2019,4.7478137
World,OWID_WRL,2020,4.4577436
World,OWID_WRL,2021,4.634748
World,OWID_WRL,2022,4.6784525
World,OWID_WRL,2023,4.707772
World,OWID_WRL,2024,4.729075